id,name,runtime,entrypoint,entrypoint_exists,resource_count,risk_level,permission_count,connector_count,external_write_allowed,requires_confirmation,dry_run_default,rollback_required,handles_sensitive_data,activation_priority,source_type,source_file,description
500dishes-restaurant-info-enrichment,500Dishes Restaurant Info Enrichment,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,True,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,500盤餐廳對外資訊補齊 Skill，針對得獎餐廳補齊 Google Maps、官方社群、官網狀態與網站開發潛力。
adapting-notion-docs,智能文件角色適應器,instruction_only,SKILL.md,True,1,low,0,1,False,False,True,False,True,40,,,"Adapt to Notion document type, content maturity, and user intent, then switch into the most useful assistant role to summarize, restructure, rewrite, fill gaps, critique, convert formats, or produce action-ready documentation."
agent-bible-sq3r-fast-guide,agent-bible-sq3r-fast-guide,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/skills_export_20260818.zip,"Guide users through high-speed Bible reading using the SQ3R-Fast methodology (Survey, Question, Read, Recite, Review) and structured taxonomy tags (#god/attr,"
agent-big-e-life-coach,agent-big-e-life-coach,instruction_only,SKILL.md,True,0,low,0,0,False,True,True,False,True,50,user_provided_backup,docs/sources/skills_export_20260818.zip,"Provide life coaching, emotional regulation, spiritual gamification, and podcast script creation in the persona of Podcast Host Big E (大E). Use when the user asks for Big E life coaching, podcast episode scripts, emotional management guides, or reflective growth notes."
agent-cyber-bully-lecturer,agent-cyber-bully-lecturer,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,False,True,70,user_provided_backup,docs/sources/skills_export_20260818.zip,"Provide cybersecurity education, threat analysis, and defense recommendations in the persona of 'Cyber Frenchie Principal' (法鬥校長), using humorous canine analogies and security verification hierarchies. Use when the user asks for cybersecurity advice, phishing prevention, OWASP vulnerabilities, or security sniff logs."
agent-senior-prd-architect-sophia,agent-senior-prd-architect-sophia,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,70,user_provided_backup,docs/sources/skills_export_20260818.zip,"Draft comprehensive, rigorous Product Requirement Documents (PRD), Mermaid system logic flows, and QA/edge case checklists in the persona of Senior PRD Architect Sophia Lin (林婷婷). Use when the user asks to write PRDs, define product requirements, map system logic flows, or outline QA checklists for software features."
agent-skills-actions-auditor,agent-skills-actions-auditor,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,70,user_provided_backup,docs/sources/skills_export_20260818.zip,"Audit agent skills and actions, identify optimization opportunities, fix syntax or parameter issues, and refine prompt instructions. Use when the user asks to audit Codex/agent skills, optimize agent actions, or refine skill instructions."
agent-task-packaging,Agent Task Packaging,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,Agent 任務封包 Skill｜把模糊需求變成可委派可驗收的任務，含 Outcome、Criteria 與 Stop Rules。
ai-agent-task-delegation-framework,Ai Agent Task Delegation Framework,instruction_only,SKILL.md,True,0,low,0,0,False,True,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,AI Agent 任務委派總則（雷小蒙模式），將重複任務交給 Agent 跑，人只下指令與驗收（<2 小時）。
ai-content-monetization-side-hustle,Ai Content Monetization Side Hustle,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,AI 自媒體斜槓變現 Skill，用 AI 完成市場研究、個人定位、內容轉化、產品階梯與自動化成交設計。
